,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS,,,,,,,,,,
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,,,,,,,,,,,
10,1987-05-06,,,CORDINGLY,,,0,,,,,Heavy Fog ,Cattle in same pasture (had not been there previously),,,5:40,9,0,3 birds strutting,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:45,,,all flew off,,,,,,,,,,,,,,,,,,,,,,,
28,1987-04-09,,,Broken Wing,Lacey,,10 to 20,80%; started to clear up 6:50,no,no,,Had been snowing most of night,New snow,,,6:30,20,24,Females eating,6:45,6:50,Green,Purple ,27,,,,,,,,"As time went on, males began moving closer together. ",,,,,,,,,,
,,,,,,,,,,,,,,,,6:50,18,23,,7:01,7:06,White,White,17,,,"on edge, but caught this morning",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:00,18,21,,7:08,7:13,Green,Purple ,18,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:15,22,21,,7:21,7:26,Blue,Green,16,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:23,23,11,,7:33,7:38,White,White,18,,,won a fight; moving into center of lek; ran off another male,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:50,19,11,,7:43,7:48,Purple,Red,7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:58,14,10,,,,,,,,,,,,,,,,,,,,,,,,
29 & 30,1987-04-10,6:10,6:38-6:44,BROKEN WING,Lacey,,0 to 5,<5,no,no,,,clean,,,6:10,14,40,"Hens eating, lots of (?) among hens , run off when male approach them (?) left ",6:29,6:34,Blue,Green,31,1,,,,,,,On 9 Apr 87 there were 3 males on what appears to be the mating center. We caught one night-lighting. 10 Apr 87 from a group of 3 strutting in the moonlight. 1 male trying to force copulations; females beat up on him. R/P P/G standoff. G won encounter. ,,,,,,,,,,
,,,,,,,,,,,,,,,,6:25,20,51,,6:36,6:41,White,White,17,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:35,23,44,,6:46,6:51,Green,Purple,11,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:53,20,42,,6:55,NA,Purple,Red,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:14,20,31,,7:00,7:05,Purple,Purple,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:40,14,16,,7:00,NA,Orange,Orange,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,7:06,Purple,Red,14,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,NA,Green,6,,,,,,,,,,,,,,,,,,
31,1987-04-14,5:30,6:35,BROKEN WING,Greg Gylten,,,clear,,,15,,Frost,,,6:15,11,19,RW - LW fought off another male before strutting ,6:20,6:35,White,White,65,1,,,unmarked,,7:50,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:45,14,14,,7:00,7:10,unmarked,,24,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:55,5,10,"RW - LW - in center, fought off another ",7:35,7:39,unmarked ,,15,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:20,5,4,Scattering,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:45,2,2,2 Female close to the male which eventually copulates,,,,,,,,,,,,,,,,,,,,,,,
32,1987-04-16,5:20,,BROKEN WING,Kris Johnson,,0 to 5,none - light ,,,,,Dry,Peregrine falcon,7:13,5:50,33,45,Spooky,6:02,6:07,Green,White,0,2,,,,,,,"Auditory evidence of strutting on arrival. 7:13, peregrine falcon landed in center of lek, flushed all birds. ",,,,,,,,,,
,,,,,,,,,,,,,,,,7:20,9,6,,6:11,6:13,Green,Green,13,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:35,0,0,,7:24,7:34,White,Blue,0,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,8:00,0,0,,,,,,,,,,,,,,,,,,,,,,,,
33,1987-04-17,5:00,,BROKEN WING,Cole,,,1 to 5,,,,,,,,5:54,26,30,,6:04,6:09,Red,Blue,30,2,,,,,,,"Fight - 6:31, between gg and rr. rr won. Fight - 6:41 between gg + unmarked. Unmarked won. Fight 7:34 between gg + oo. Tie.  ",,,,,,,,,,
,,,,,,,,,,,,,,,,7:02,,,female with LB/RO and radio ,6:12,6:17,Blue,Green,43,1,middle - 9 hens,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:20,26,11,,6:24,6:29,White,Green,28,1,next to 3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:57,20,11,,6:37,6:42,Green,Green,32,1,middle - moved around,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:44,6:49,Red,Red,25,1,middle - 3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:51,6:56,Purple,Purple,17,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:08,7:13,White,White,10,1,middle - 4,,,,,,,,,,,,,,,,
34,1987-04-22,5:40,,BROKEN WING,Cole,,calm ,Clear,,,,,Frosty ground ,,,5:45,37,1,,5:55,6:00,Blue,Green,0,,,fight - TIE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:17,27,4,~20 birds flew by at 6:13,6:01,6:06,Green,Purple,0,,,(?) fed,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,NA,,,2 birds strutting (?) ,6:10,6:15,White,Red,25,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:02,27,0,sitting or feeding,6:28,6:33,Purple,Purple,0,,,fed and walked around,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:15,,,All flew off to SW but 1 more ,6:49,6:54,Orange,Red,0,,,walked around was within 5m of strutting male was unconcerned,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:42,6:47,White,Red,23,,,,,,,,,,,,,,,,,,
35,1987-04-24,5:34,6:12,BROKEN WING,Lacey,,0 to 5,,no,no,,,clear,,,5:43,31,1,,5:48,5:53,Green,Blue,13,,,,,,,,"5:49 - everyone slowed down strutting activity. 5:55 G/B standoff. 6:10 P/P fight unmarked male, no clear winner, both (?) and let, 6:12 P/P came back. R/P chased juv across lek. 6:25 - most everyone is feeding (~10 males are strutting). 6:45 juv. On edges strutting quite a bit, adults have about quit. ",,,,,,,,,,
,,,,,,,,,,,,,,,,6:15,31,0,,5:48,5:53,White,White,9,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:26,33,0,,6:00,6:05,Purple,Green,21,,"hen walking by, when hen left most of the strutting quit",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:43,35,0,,6:05,6:10,Purple,Purple ,24,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:05,6:10,Orange,Orange,23,,hen walking by,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:14,6:19,Red,Purple ,20,,started feeding 6:18,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:27,6:32,Red,Orange,5,,"trying to strut, walking in",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:36,6:41,Blue,Green,10,,,involved in standoff,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:36,6:41,White,White,1,,,"feeding, chased juv off, fighting standoff w/ another adult male, other male walked away. 6:43 other male came back, left again 6:46",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:46,6:51,Red,White,30,,,"missing a lot of tail feathers, edge of lek",,,,,,,,,,,,,,,
28,1987-04-09,,,MUD SPRINGS,Boyce and Jim,,25,100%,Y,N,,"Wind up, snow up, got nasty! ",Rained last night - nitelited last night ,Eagle,,6:28,31,,Females present,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:56,22,,6 flew in,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:20,,,Eagle flushed many,,,,,,,,,,,,,,,,,,,,,,,
29,1987-04-12,7:05,,MUD SPRINGS,Lacey/Johnson,,,100%,Y,N,,Nitelighted lek same morning,Fresh snow on ground - ground cover,,,7:06,10,17,,7:27,7:32,unmarked,,25,,10 hens w/in 0.01m,,,,,,No tagged males,,,,,,,,,,
,,,,,,,,,,,,,,,,7:19,6,14,10 hens clustered around 1 male on edge of LEK,7:33,7:38,unmarked,,12,,Away from male and hens,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:40,2,9,,,,,,,,,,,,,,,,,,,,,,,,
30,1987-04-13,6:10,6:40,MUD SPRINGS,Lacey,,0 to 5,~10% - increased to >90% ~ 7:00pm,N,N,,Fog,Snow cover,,,6:10,20,72,,6:20,6:25,Green,Red,1,,,,,,,,Notes: Fight - started by BR (written next to 6:27 - 6:32 time slots in strutting frequency),,,,,,,,,,
