"source","binder_pdf_page_number","year","month","day","arrival_time","observer","lek_name","trapping_activity","wind_mph","cloud_cover_percent","snowing_status","raining_status","temp_f","other_weather_conditions","lek_ground_condition","predator_disturbance_type_","predator_disturbance_time","type","left_tag_color","left_tag_number","left_tag_code","right_tag_color","right_tag_number","right_tag_code","age","time","sunrise_time","num_males_observed","num_females_observed","comments_observations_or_marks","time_start","time_end","num_of_struts","struts_5_min","distance_to_hens_category","distance_to_hens_notes","fights","num_of_copulations","breed","malaria","lice","other_fights_and_comments"
"binder","10","1987","5","6",NA,NA,"cordingly",NA,"0",NA,NA,NA,NA,"Heavy Fog ","Cattle in same pasture (had not been there previously)",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"5:40",NA,"9","0","3 birds strutting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"binder","10","1987","5","6",NA,NA,"cordingly",NA,"0",NA,NA,NA,NA,"Heavy Fog ","Cattle in same pasture (had not been there previously)",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"5:45",NA,NA,NA,"all flew off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"binder","28","1987","4","9",NA,"Lacey","broken_wing",NA,"10 to 20","80%; started to clear up 6:50","no","no",NA,"Had been snowing most of night","New snow",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:30",NA,"20","24","Females eating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"As time went on, males began moving closer together. "
"binder, floppy","28","1987","4","9",NA,"Lacey","broken_wing",NA,"10 to 20","80%; started to clear up 6:50","no","no",NA,"Had been snowing most of night","New snow",NA,NA,"strut","green","320","G320","purple","519","P519","adult",NA,"6:38",NA,NA,NA,"6:45","6:50","27","27","4",NA,NA,NA,"no","no","no","As time went on, males began moving closer together. "
"binder","28","1987","4","9",NA,"Lacey","broken_wing",NA,"10 to 20","80%; started to clear up 6:50","no","no",NA,"Had been snowing most of night","New snow",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:50",NA,"18","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"As time went on, males began moving closer together. "
"binder, floppy","28","1987","4","9",NA,"Lacey","broken_wing",NA,"10 to 20","80%; started to clear up 6:50","no","no",NA,"Had been snowing most of night","New snow",NA,NA,"strut","white","418","W418","white","423","W423","adult",NA,"6:38",NA,NA,NA,"7:01","7:06","17","17","4",NA,"on edge, but caught this morning",NA,"no",NA,NA,"As time went on, males began moving closer together. "
"binder","28","1987","4","9",NA,"Lacey","broken_wing",NA,"10 to 20","80%; started to clear up 6:50","no","no",NA,"Had been snowing most of night","New snow",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"7:00",NA,"18","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"As time went on, males began moving closer together. "
"binder, floppy","28","1987","4","9",NA,"Lacey","broken_wing",NA,"10 to 20","80%; started to clear up 6:50","no","no",NA,"Had been snowing most of night","New snow",NA,NA,"strut","green","320","G320","purple","519","P519","adult",NA,"6:38",NA,NA,NA,"7:08","7:13","18","18","4",NA,NA,NA,"no","no","no","As time went on, males began moving closer together. "
"binder","28","1987","4","9",NA,"Lacey","broken_wing",NA,"10 to 20","80%; started to clear up 6:50","no","no",NA,"Had been snowing most of night","New snow",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"7:15",NA,"22","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"As time went on, males began moving closer together. "
"binder, floppy","28","1987","4","9",NA,"Lacey","broken_wing",NA,"10 to 20","80%; started to clear up 6:50","no","no",NA,"Had been snowing most of night","New snow",NA,NA,"strut","blue","217","B217","green","312","G312","adult",NA,"6:38",NA,NA,NA,"7:21","7:26","16","16","4",NA,NA,NA,"no","no","no","As time went on, males began moving closer together. "
"binder","28","1987","4","9",NA,"Lacey","broken_wing",NA,"10 to 20","80%; started to clear up 6:50","no","no",NA,"Had been snowing most of night","New snow",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"7:23",NA,"23","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"As time went on, males began moving closer together. "
"binder, floppy","28","1987","4","9",NA,"Lacey","broken_wing",NA,"10 to 20","80%; started to clear up 6:50","no","no",NA,"Had been snowing most of night","New snow",NA,NA,"strut","white","418","W418","white","423","W423","adult",NA,"6:38",NA,NA,NA,"7:33","7:38","18","18","4",NA,"won a fight; moving into center of lek; ran off another male",NA,"no",NA,NA,"As time went on, males began moving closer together. "
"binder","28","1987","4","9",NA,"Lacey","broken_wing",NA,"10 to 20","80%; started to clear up 6:50","no","no",NA,"Had been snowing most of night","New snow",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"7:50",NA,"19","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"As time went on, males began moving closer together. "
"binder, floppy","28","1987","4","9",NA,"Lacey","broken_wing",NA,"10 to 20","80%; started to clear up 6:50","no","no",NA,"Had been snowing most of night","New snow",NA,NA,"strut","purple","521","P521","red","121","R121","juv",NA,"6:38",NA,NA,NA,"7:43","7:48","7","7","4",NA,NA,NA,"no",NA,NA,"As time went on, males began moving closer together. "
"binder","28","1987","4","9",NA,"Lacey","broken_wing",NA,"10 to 20","80%; started to clear up 6:50","no","no",NA,"Had been snowing most of night","New snow",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"7:58",NA,"14","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"As time went on, males began moving closer together. "
"binder","29 & 30","1987","4","10","6:10","Lacey","broken_wing",NA,"0 to 5","<5","no","no",NA,NA,"clean",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:10","6:38-6:44","14","40","Hens eating, lots of (?) among hens , run off when male approach them (?) left ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"On 9 Apr 87 there were 3 males on what appears to be the mating center. We caught one night-lighting. 10 Apr 87 from a group of 3 strutting in the moonlight. 1 male trying to force copulations; females beat up on him. R/P P/G standoff. G won encounter. "
"binder, floppy","29 & 30","1987","4","10","6:10","Lacey","broken_wing",NA,"0 to 5","<5","no","no",NA,NA,"clean",NA,NA,"strut","blue","217","B217","green","312","G312","adult",NA,"6:38-6:44, 6:38",NA,NA,NA,"6:29","6:34","31","31","1",NA,NA,NA,"no","no","no","On 9 Apr 87 there were 3 males on what appears to be the mating center. We caught one night-lighting. 10 Apr 87 from a group of 3 strutting in the moonlight. 1 male trying to force copulations; females beat up on him. R/P P/G standoff. G won encounter. "
"binder","29 & 30","1987","4","10","6:10","Lacey","broken_wing",NA,"0 to 5","<5","no","no",NA,NA,"clean",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:25","6:38-6:44","20","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"On 9 Apr 87 there were 3 males on what appears to be the mating center. We caught one night-lighting. 10 Apr 87 from a group of 3 strutting in the moonlight. 1 male trying to force copulations; females beat up on him. R/P P/G standoff. G won encounter. "
"binder, floppy","29 & 30","1987","4","10","6:10","Lacey","broken_wing",NA,"0 to 5","<5","no","no",NA,NA,"clean",NA,NA,"strut","white","418","W418","white","423","W423","adult",NA,"6:38-6:44, 6:38",NA,NA,NA,"6:36","6:41","17","17","4",NA,NA,NA,"no",NA,NA,"On 9 Apr 87 there were 3 males on what appears to be the mating center. We caught one night-lighting. 10 Apr 87 from a group of 3 strutting in the moonlight. 1 male trying to force copulations; females beat up on him. R/P P/G standoff. G won encounter. "
"binder","29 & 30","1987","4","10","6:10","Lacey","broken_wing",NA,"0 to 5","<5","no","no",NA,NA,"clean",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:35","6:38-6:44","23","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"On 9 Apr 87 there were 3 males on what appears to be the mating center. We caught one night-lighting. 10 Apr 87 from a group of 3 strutting in the moonlight. 1 male trying to force copulations; females beat up on him. R/P P/G standoff. G won encounter. "
"binder, floppy","29 & 30","1987","4","10","6:10","Lacey","broken_wing",NA,"0 to 5","<5","no","no",NA,NA,"clean",NA,NA,"strut","green","320","G320","purple","519","P519","adult",NA,"6:38-6:44, 6:38",NA,NA,NA,"6:46","6:51","11","11","4",NA,NA,NA,"no","no","no","On 9 Apr 87 there were 3 males on what appears to be the mating center. We caught one night-lighting. 10 Apr 87 from a group of 3 strutting in the moonlight. 1 male trying to force copulations; females beat up on him. R/P P/G standoff. G won encounter. "
"binder","29 & 30","1987","4","10","6:10","Lacey","broken_wing",NA,"0 to 5","<5","no","no",NA,NA,"clean",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:53","6:38-6:44","20","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"On 9 Apr 87 there were 3 males on what appears to be the mating center. We caught one night-lighting. 10 Apr 87 from a group of 3 strutting in the moonlight. 1 male trying to force copulations; females beat up on him. R/P P/G standoff. G won encounter. "
"binder","29 & 30","1987","4","10","6:10","Lacey","broken_wing",NA,"0 to 5","<5","no","no",NA,NA,"clean",NA,NA,"strut","purple",NA,NA,"red",NA,NA,NA,NA,"6:38-6:44",NA,NA,NA,"6:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"On 9 Apr 87 there were 3 males on what appears to be the mating center. We caught one night-lighting. 10 Apr 87 from a group of 3 strutting in the moonlight. 1 male trying to force copulations; females beat up on him. R/P P/G standoff. G won encounter. "
"binder","29 & 30","1987","4","10","6:10","Lacey","broken_wing",NA,"0 to 5","<5","no","no",NA,NA,"clean",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"7:14","6:38-6:44","20","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"On 9 Apr 87 there were 3 males on what appears to be the mating center. We caught one night-lighting. 10 Apr 87 from a group of 3 strutting in the moonlight. 1 male trying to force copulations; females beat up on him. R/P P/G standoff. G won encounter. "
"binder, floppy","29 & 30","1987","4","10","6:10","Lacey","broken_wing",NA,"0 to 5","<5","no","no",NA,NA,"clean",NA,NA,"strut","purple","524","P524","purple","523","P523","adult",NA,"6:38-6:44, 6:38",NA,NA,NA,"7:00","7:05","3","3","4",NA,NA,NA,"no","no","no","On 9 Apr 87 there were 3 males on what appears to be the mating center. We caught one night-lighting. 10 Apr 87 from a group of 3 strutting in the moonlight. 1 male trying to force copulations; females beat up on him. R/P P/G standoff. G won encounter. "
